Country,Year,Temperature
0,1961,-0.096
1,1961,-0.015
2,1961,0.643
3,1961,0.154
4,1961,0.075
5,1961,0.058
6,1961,0.736
7,1961,0.033
8,1961,-0.029
9,1961,0.013
10,1961,0.117
11,1961,0.117
12,1961,-0.343
13,1961,0.053
14,1961,0.152
15,1961,1.031
16,1961,1.031
17,1961,-0.01
18,1961,-0.484
19,1961,0.126
20,1961,0.245
21,1961,0.245
22,1961,0.245
23,1961,-0.005
24,1961,-0.173
25,1961,0.176
26,1961,0.223
27,1961,0.223
28,1961,0.088
29,1961,0.198
30,1961,-0.043
31,1961,0.116
32,1961,0.881
33,1961,-0.293
34,1961,0.074
35,1961,-0.076
36,1961,-0.024
37,1961,-0.105
38,1961,0.047
39,1961,0.047
40,1961,-0.012
41,1961,-0.406
42,1961,-0.272
43,1961,0.072
44,1961,0.072
45,1961,0.255
46,1961,0.027
47,1961,0.479
48,1961,-0.013
49,1961,-0.144
50,1961,0.108
51,1961,0.108
52,1961,0.108
53,1961,-0.057
54,1961,0.062
55,1961,0.062
56,1961,1.118
57,1961,0.135
58,1961,0.011
59,1961,-0.05
60,1961,-0.138
61,1961,-0.223
62,1961,-0.057
63,1961,-0.135
64,1961,-0.135
65,1961,-0.135
66,1961,0.312
67,1961,0.312
68,1961,0.885
69,1961,-0.351
70,1961,0.632
71,1961,0.25
72,1961,1.895
73,1961,0.831
74,1961,0.08
75,1961,-0.098
76,1961,-0.137
77,1961,-0.137
78,1961,0.992
79,1961,-0.102
80,1961,0.606
81,1961,0.466
82,1961,-0.398
83,1961,0.394
84,1961,-0.008
85,1961,-0.035
86,1961,-0.087
87,1961,-0.126
88,1961,-0.136
89,1961,0.011
90,1961,-0.031
91,1961,0.71
92,1961,-0.081
93,1961,1.181
94,1961,0.613
95,1961,-0.179
96,1961,-0.049
97,1961,-0.074
98,1961,-0.161
99,1961,0.268
100,1961,0.358
101,1961,-0.108
102,1961,0.811
103,1961,-0.043
104,1961,0.666
105,1961,-0.18
106,1961,-0.18
107,1961,0.29
108,1961,-0.015
109,1961,0.495
110,1961,0.64
111,1961,-0.245
112,1961,-0.245
113,1961,0.087
114,1961,0.087
115,1961,0.018
116,1961,0.362
117,1961,-0.117
118,1961,-0.433
119,1961,1.056
120,1961,1.056
121,1961,1.056
122,1961,0.57
123,1961,0.351
124,1961,-0.019
125,1961,-0.019
126,1961,-0.281
127,1961,0.537
128,1961,0.537
129,1961,0.062
130,1961,-0.005
131,1961,0.453
132,1961,0.442
133,1961,-0.148
134,1961,-0.148
135,1961,-0.148
136,1961,0.779
137,1961,0.148
138,1961,0.148
139,1961,0.013
140,1961,0.636
141,1961,0.432
142,1961,-0.023
143,1961,0.162
144,1961,-0.237
145,1961,0.091
146,1961,0.856
147,1961,-0.198
148,1961,-0.279
149,1961,-0.192
150,1961,-0.664
151,1961,-0.251
152,1961,0.214
153,1961,-0.315
154,1961,-0.315
155,1961,1.24
156,1961,0.12
157,1961,-0.286
158,1961,-0.255
159,1961,-0.255
160,1961,-0.255
161,1961,-0.174
162,1961,0.574
163,1961,-0.002
164,1961,-0.134
165,1961,0.564
166,1961,1.397
167,1961,0.833
168,1961,-0.089
169,1961,-0.522
170,1961,1.083
171,1961,1.083
172,1961,-0.002
173,1961,-0.055
174,1961,0.058
175,1961,0.915
199,1961,-0.083
176,1961,-0.177
177,1961,-0.154
178,1961,-0.154
179,1961,0.355
180,1961,-0.077
181,1961,-0.077
182,1961,-0.077
183,1961,-0.077
184,1961,0.208
185,1961,0.323
186,1961,0.256
187,1961,0.256
188,1961,0.747
189,1961,-0.103
190,1961,0.013
191,1961,0.232
192,1961,0.398
193,1961,0.398
194,1961,-0.021
195,1961,0.565
196,1961,1.558
197,1961,0.993
198,1961,-0.023
200,1961,0.145
201,1961,0.145
202,1961,0.385
203,1961,-0.15
204,1961,-0.341
205,1961,-0.116
206,1961,-0.073
207,1961,0.315
208,1961,0.201
209,1961,0.248
210,1961,0.248
211,1961,-0.08
212,1961,-0.06
213,1961,-0.015
214,1961,-0.015
215,1961,-0.288
216,1961,0.496
217,1961,0.005
218,1961,-0.072
219,1961,0.411
220,1961,0.411
221,1961,0.179
222,1961,0.023
223,1961,0.038
224,1961,0.329
225,1961,-0.109
226,1961,0.633
227,1961,0.206
228,1961,0.061
229,1961,0.237
230,1961,0.253
0,1962,-0.143
1,1962,-0.033
2,1962,0.351
3,1962,0.105
4,1962,-0.047
5,1962,-0.087
6,1962,0.109
7,1962,-0.159
8,1962,-0.046
9,1962,-0.025
10,1962,-0.046
11,1962,-0.046
12,1962,-0.046
13,1962,-0.011
14,1962,0.132
15,1962,-0.626
16,1962,-0.626
17,1962,-0.152
18,1962,0.369
19,1962,-0.31
20,1962,0.138
21,1962,0.138
22,1962,0.138
23,1962,-0.176
24,1962,-0.284
25,1962,-0.361
26,1962,-0.054
27,1962,-0.054
28,1962,0.206
29,1962,-0.184
30,1962,-0.067
31,1962,-0.049
32,1962,0.467
33,1962,-0.24
34,1962,-0.463
35,1962,0.275
36,1962,-0.114
37,1962,-0.212
38,1962,-0.12
39,1962,-0.391
40,1962,-0.327
41,1962,-0.266
42,1962,0.27
43,1962,-0.066
44,1962,-0.066
45,1962,-0.146
46,1962,-0.16
47,1962,0.023
48,1962,-0.167
49,1962,-0.036
50,1962,-0.091
51,1962,-0.108
52,1962,-0.108
53,1962,-0.073
54,1962,0.8
55,1962,0.8
56,1962,-0.646
57,1962,-0.175
58,1962,-0.025
59,1962,-0.025
60,1962,-0.179
61,1962,0.67
62,1962,-0.161
63,1962,-0.047
64,1962,-0.047
65,1962,-0.047
66,1962,0.451
67,1962,0.451
68,1962,0.308
69,1962,0.401
70,1962,-0.479
71,1962,-0.065
72,1962,-0.329
73,1962,-0.297
74,1962,-0.169
75,1962,-0.036
76,1962,-0.046
77,1962,-0.046
78,1962,-0.749
79,1962,-0.17
80,1962,0.553
81,1962,0.61
82,1962,0.925
83,1962,-0.252
84,1962,-0.035
85,1962,-0.129
86,1962,-0.083
87,1962,-0.135
88,1962,-0.076
89,1962,-0.082
90,1962,-0.018
91,1962,0.078
92,1962,-0.132
93,1962,-0.414
94,1962,-0.217
95,1962,-0.474
96,1962,0.016
97,1962,0.235
98,1962,0.919
99,1962,-0.687
100,1962,-0.749
101,1962,0.81
102,1962,0.039
103,1962,-0.05
104,1962,0.123
105,1962,0.99
106,1962,0.99
107,1962,-0.234
108,1962,-0.111
109,1962,-0.053
110,1962,-0.091
111,1962,0.833
112,1962,0.833
113,1962,-0.221
114,1962,-0.221
115,1962,0.84
116,1962,0.267
117,1962,-0.11
118,1962,0.224
119,1962,-0.487
120,1962,-0.487
121,1962,-0.487
122,1962,-0.069
123,1962,-0.132
124,1962,-0.071
125,1962,-0.038
126,1962,-0.147
127,1962,0.377
128,1962,0.377
129,1962,0.007
130,1962,0.173
131,1962,-0.016
132,1962,0.026
133,1962,0.183
134,1962,0.183
135,1962,0.183
136,1962,-0.007
137,1962,-0.125
138,1962,-0.125
139,1962,-0.025
140,1962,0.555
141,1962,0.076
142,1962,-0.115
143,1962,-0.078
144,1962,-0.078
145,1962,-0.492
146,1962,-0.905
147,1962,0.132
148,1962,0.584
149,1962,-0.086
150,1962,-0.146
151,1962,-0.267
152,1962,-0.363
153,1962,0.396
154,1962,0.396
155,1962,-0.77
156,1962,0.15
157,1962,0.289
158,1962,-0.215
159,1962,-0.215
160,1962,-0.215
161,1962,0.22
162,1962,-0.639
163,1962,-0.147
164,1962,-0.107
165,1962,0.112
166,1962,-0.516
167,1962,0.539
